language,latitude,longitude
pir,-11.0,-73.5
ppi,-22.8333333333,140.0
pkm,15.4166666667,-90.5
plb,51.0,12.8333333333
por,39.0,-8.0
plp,1.41666666667,109.833333333
pul,7.33333333333,149.333333333
que,32.8333333333,-114.333333333
qay,-14.0,-74.0
qch,15.0,-91.4166666667
rit,-12.8333333333,135.5
rnr,60.0,38.0
rsm,46.5833333333,9.75
rti,-10.6666666667,123.25
rot,-12.5,177.066666667
sno,69.0,24.0
sao,14.75,39.75
sah,1.16666666667,127.5
sak,-15.1666666667,167.083333333
sps,47.25,-122.5
sbg,6.16666666667,121.833333333
sgr,3.5,125.5
srd,40.0,9.0
swi,0.5,128.0
sru,-8.2,131.0
sly,-6.0,120.5
scr,44.0,19.0
ser,29.0,-112.0
skr,-2.91666666667,138.25
skl,2.66666666667,96.0
sio,-5.95,147.333333333
sro,-5.5,146.0
svk,49.0,20.0
slo,46.0,15.0
svc,54.0,16.0
srb,51.5,14.0
sea,-16.3,168.216666667
spo,47.6666666667,-117.75
sto,53.75,-116.5
sun,-7.0,107.0
swe,60.0,15.0
tah,-17.6666666667,-149.583333333
taj,38.6666666667,70.0
tld,4.25,126.75
tns,-19.5666666667,169.333333333
tgw,-6.5,134.166666667
taw,-10.3333333333,150.666666667
thp,-14.8333333333,143.166666667
tse,-9.66666666667,124.5
tmc,30.25,-82.5
tlo,1.5,128.5
tla,-4.25,152.083333333
tno,1.25,125.0
tng,-21.1666666667,-175.166666667
tnt,1.08333333333,124.5
trd,-3.0,119.75
tor,1.08333333333,124.833333333
tsa,41.6666666667,47.1666666667
tua,-17.0,-144.0
tzo,16.5,-92.6666666667
tsh,37.0,-117.0
uli,9.91666666667,139.583333333
uma,-1.83333333333,120.0
unm,40.0,-75.1666666667
uhi,-11.9166666667,142.416666667
vot,59.5,30.0
wlm,-19.5,125.75
wbn,-5.5,140.416666667
wan,-27.3333333333,143.0
wrl,-20.0,132.333333333
wrg,-18.5833333333,146.083333333
wel,52.0,-3.0
wer,-7.75,146.916666667
wet,-8.16666666667,128.0
wlo,-5.5,122.75
ywl,35.4166666667,-119.0
yzv,65.0,55.0
yil,-3.53333333333,142.15
yin,-21.75,117.916666667
yir,-14.8333333333,141.833333333
ych,61.5,-165.75
yun,64.0,-161.0
ysl,63.5,-170.5
yuw,-29.5,148.0
atk,30.0,-93.5
bel,26.9666666667,87.3
cku,45.62,-121.16
cho,16.25,-95.75
dig,28.4166666667,96.0
hat,-1.0,134.0
iau,-3.16666666667,137.5
jel,9.5,-5.66666666667
kri,-10.0,-37.0
lai,22.6666666667,93.6666666667
mot,-6.61666666667,155.416666667
nah,19.75,77.8333333333
tot,19.9166666667,-96.9166666667
wem,-35.3333333333,144.0
ash,45.0,38.75
nca,9.0,93.0
nsg,55.0,-130.0
amb,-3.83333333333,143.0
ane,-5.58333333333,149.083333333
bzi,-2.5,137.5
chy,-5.5,-77.0
cjo,21.6666666667,-100.5
cin,34.6666666667,-120.25
gmz,12.5,35.8333333333
gku,-41.0,-67.0
hua,-6.33333333333,145.333333333
knp,-8.66666666667,140.916666667
kim,-8.0,138.5
kkr,-3.0,137.166666667
kmb,-5.58333333333,140.0
kiu,-8.43333333333,124.55
mrh,-13.8333333333,130.0
nkk,-12.1166666667,134.416666667
nat,31.75,-91.3333333333
nyn,-18.0,124.333333333
ori,12.1666666667,30.8333333333
syu,-6.28333333333,145.033333333
siu,44.0,-124.0
tkl,42.5,-123.0
tgp,-8.28333333333,125.083333333
tau,-5.75,145.333333333
tlf,-5.0,141.75
wrn,-14.4166666667,135.583333333
wsk,-4.5,146.0
xok,-24.5,-50.0
yli,-4.0,139.333333333
ynk,-27.0,132.0
agc,17.9666666667,121.833333333
apl,0.0,-54.0
arw,38.5,43.5
ass,26.0,93.0
blx,30.5,-88.6666666667
cba,34.5,-120.25
fua,9.16666666667,13.5
hui,22.0,-104.0
kls,48.0,-117.0
kma,-12.0833333333,-52.5833333333
kaa,-10.3333333333,-62.0
kik,-0.75,36.75
shp,46.5,-120.0
kol,20.0,78.5
lac,17.0,-91.5
maj,6.75,35.0
mra,-15.0,135.166666667
mki,32.0,-85.0
miy,10.9166666667,9.66666666667
mok,6.66666666667,159.75
nak,-5.58333333333,150.583333333
ndb,-25.3333333333,29.0
ngw,-19.0,141.5
nsn,39.0,-121.0
pan,31.0,74.0
pwn,41.0,-98.6666666667
cos,36.8333333333333,-121.75
rny,-0.5,30.5
sam,-13.9166666667,-171.833333333
stl,24.5,87.0
tml,11.0,78.5
tnc,63.5,-143.5
tja,32.1666666667,-116.5
tim,5.0,116.0
wrk,1.5,-67.5
wat,-26.0,117.5
xho,-32.0,27.0
yuk,-17.3333333333,138.833333333
zhn,24.0,108.0
agl,41.75,47.6666666667
bnw,2.66666666667,-66.8333333333
bsm,-16.0,168.0
blq,11.3333333333,11.25
buw,3.0,11.0
cvc,7.0,122.083333333
col,17.75,-92.5
cuu,7.33333333333,151.75
coe,47.25,-116.5
cwe,47.5,-120.0
cmx,50.1666666667,-125.0
dhm,26.6666666667,87.75
err,-18.8333333333,169.166666667
fox,43.0,-83.0
gmt,-12.5,135.5
gum,-30.1666666667,152.5
hlu,49.25,-121.916666667
hrr,9.25,42.1666666667
hil,10.25,123.0
ilo,16.0,121.0
itz,17.0,-89.8333333333
kpm,15.3333333333,120.5
lrd,-16.5,139.333333333
mmb,-5.66666666667,148.083333333
maw,13.0,-11.0
mrq,-8.91666666667,-140.083333333
msh,7.11666666667,171.05
mxl,17.25,-98.5833333333
mja,16.25,-97.8333333333
moj,34.6666666667,-114.583333333
muh,8.16666666667,38.1666666667
mwe,-9.0,39.0
nhc,19.0,-98.25
nde,-0.0833333333333,29.1666666667
nau,-0.5,166.916666667
ngk,-14.0,130.5
nkr,3.83333333333,154.916666667
ojs,53.0,-90.0
oka,49.5,-118.5
pnn,15.9166666667,120.333333333
pgl,6.21666666667,160.7
rmb,-12.8333333333,134.583333333
rnd,-3.5,30.0
sst,48.75,-123.25
ses,-28.0,27.0
sry,23.0,120.25
swt,-26.5,31.0
thw,23.8833333333,120.916666667
tho,49.75,-121.75
tig,14.5,38.5
toj,16.3333333333,-91.5
tsw,-24.0,26.0
twa,47.6666666667,-122.75
tze,16.8333333333,-92.25
wwy,12.0,125.0
